Year,Month,Death_and_injury_accidents,Property_damage_accidents,Death,Injured
2024,January,36,139,0,48
2024,February,30,88,4,74
2024,March,37,105,0,64
2024,April,35,100,1,59
2024,May,47,79,0,75
2024,June,71,108,1,127
2024,July,54,132,1,75
2024,August,56,129,2,90
2024,September,58,126,3,105
2024,October,60,98,1,96
2024,November,41,85,0,62
2024,December,70,123,2,111
2023,January,52,127,1,80
2023,February,34,131,0,49
2023,March,39,122,1,61
2023,April,45,124,2,69
2023,May,51,125,3,77
2023,June,60,128,2,104
2023,July,70,131,0,130
2023,August,65,142,0,105
2023,September,71,148,0,124
2023,October,51,140,1,78
2023,November,49,134,2,77
2023,December,46,129,3,75
2022,January,44,123,4,74
2022,February,41,100,2,75
2022,March,34,128,1,52
2022,April,48,157,1,82
2022,May,44,123,4,74
2022,June,59,91,3,96
2022,July,48,108,1,81
2022,August,46,136,3,85
2022,September,48,107,1,78
2022,October,39,122,0,56
2022,November,28,93,0,44
2022,December,31,123,2,52
2021,January,29,121,2,48
2021,February,27,119,1,43
2021,March,33,110,1,45
2021,April,32,96,3,41
2021,May,37,108,2,58
2021,June,42,120,0,75
2021,July,42,118,0,76
2021,August,43,116,1,76
2021,September,44,115,2,76
2021,October,44,113,2,77
2021,November,57,132,0,103
2021,December,57,132,0,103
